SquareFeet,Bedrooms,Bathrooms,Neighborhood,YearBuilt,Price,PricePerSqft,PropertyAge,ListingCategory
2587,2,1,Urban,2008,334517.4073,129.31,17,High-End
1493,3,3,Rural,2007,189121.5177,126.67,18,Budget
2562,4,3,Urban,1966,316102.859,123.38,59,High-End
2692,2,2,Urban,1950,240595.0892,89.37,75,Mid-Range
1750,2,2,Urban,2018,199661.2722,114.09,7,Mid-Range
2179,4,1,Urban,2016,261252.9062,119.9,9,High-End
1290,5,3,Rural,1994,237567.6011,184.16,31,Mid-Range
2671,2,1,Rural,1979,168741.5546,63.18,46,Budget
2167,3,1,Suburb,2021,336045.5801,155.07,4,High-End
1105,2,1,Suburb,1952,161667.2898,146.31,73,Budget
2443,5,2,Suburb,2014,296033.6043,121.18,11,High-End
1669,3,3,Suburb,1953,193318.338,115.83,72,Mid-Range
2681,3,3,Urban,1964,280841.5705,104.75,61,High-End
1001,3,2,Urban,2019,55453.87009,55.4,6,Budget
2968,4,2,Rural,1984,312344.8203,105.24,41,High-End
1588,2,1,Rural,1976,190994.4008,120.27,49,Mid-Range
1643,5,1,Suburb,1990,183378.0071,111.61,35,Budget
1089,4,2,Rural,1971,155740.5921,143.01,54,Budget
2368,4,2,Rural,1989,274778.1992,116.04,36,High-End
1349,3,3,Rural,2007,96544.77518,71.57,18,Budget
2482,4,3,Urban,1986,232992.7825,93.87,39,Mid-Range
2286,2,3,Suburb,2007,255788.8944,111.89,18,Mid-Range
2374,4,2,Suburb,1992,178494.5998,75.19,33,Budget
2131,4,1,Rural,1994,299860.5025,140.71,31,High-End
2609,3,3,Rural,1961,324703.2256,124.46,64,High-End
2062,3,2,Urban,2018,208711.0141,101.22,7,Mid-Range
1908,4,2,Urban,2018,189094.1749,99.11,7,Budget
1158,3,1,Rural,2008,120431.3469,104,17,Budget
2606,5,3,Urban,1999,292542.7866,112.26,26,High-End
1958,5,3,Urban,1975,194456.9922,99.31,50,Mid-Range
1311,5,2,Rural,1959,185353.7738,141.38,66,Budget
2264,4,3,Rural,1998,278394.512,122.97,27,High-End
2961,2,1,Urban,1952,305895.8473,103.31,73,High-End
1444,2,3,Rural,2013,211016.0808,146.13,12,Mid-Range
1297,3,1,Suburb,2020,228138.3046,175.9,5,Mid-Range
1951,2,2,Urban,1955,143719.3037,73.66,70,Budget
1035,2,1,Urban,2004,171830.3885,166.02,21,Budget
2107,4,1,Urban,2015,184956.0496,87.78,10,Budget
2475,3,1,Suburb,2007,202637.0719,81.87,18,Mid-Range
2909,2,1,Urban,2004,256533.3196,88.19,21,Mid-Range
2798,5,2,Rural,1951,331331.7458,118.42,74,High-End
2845,3,1,Suburb,1980,246222.3151,86.55,45,Mid-Range
2408,3,2,Suburb,1992,237328.011,98.56,33,Mid-Range
2195,3,3,Suburb,2014,251000.6652,114.35,11,Mid-Range
2399,5,3,Suburb,2004,207405.8715,86.46,21,Mid-Range
2708,2,3,Rural,2014,265416.4569,98.01,11,High-End
2385,5,3,Suburb,1974,248347.9668,104.13,51,Mid-Range
1558,3,2,Urban,2016,160990.2846,103.33,9,Budget
1890,3,2,Suburb,1988,255185.1496,135.02,37,Mid-Range
1140,4,3,Suburb,1990,164163.3739,144,35,Budget
1886,4,1,Suburb,1999,222052.0367,117.74,26,Mid-Range
2941,4,3,Suburb,2006,310126.5619,105.45,19,High-End
2141,4,3,Urban,2011,155736.7739,72.74,14,Budget
2300,3,3,Urban,1968,203508.3186,88.48,57,Mid-Range
1725,5,2,Suburb,2001,232256.4052,134.64,24,Mid-Range
2243,4,3,Suburb,1997,264519.657,117.93,28,High-End
2928,5,3,Urban,1977,331111.8808,113.08,48,High-End
2049,4,3,Suburb,1991,236049.7019,115.2,34,Mid-Range
1520,2,2,Urban,1984,176572.6684,116.17,41,Budget
2806,4,3,Rural,2008,241125.0277,85.93,17,Mid-Range
1009,5,3,Rural,1985,110870.7049,109.88,40,Budget
1983,4,1,Suburb,1957,243147.467,122.62,68,Mid-Range
1377,2,3,Rural,1950,202481.9094,147.05,75,Mid-Range
2656,5,2,Rural,2012,304907.9897,114.8,13,High-End
2660,5,1,Urban,1984,302534.8619,113.73,41,High-End
1681,5,3,Urban,1958,297382.4635,176.91,67,High-End
1583,3,2,Rural,1955,110732.4432,69.95,70,Budget
1151,5,1,Suburb,1990,92403.9845,80.28,35,Budget
1719,3,2,Suburb,1973,295468.8457,171.88,52,High-End
2072,2,1,Suburb,2009,188349.2923,90.9,16,Budget
2177,5,2,Rural,1953,199418.5464,91.6,72,Mid-Range
1858,5,1,Rural,2021,172653.7246,92.92,4,Budget
2316,5,3,Suburb,1963,365275.749,157.72,62,High-End
2603,2,3,Rural,1980,280912.1754,107.92,45,High-End
1049,3,3,Suburb,1988,133669.9851,127.43,37,Budget
1663,4,3,Urban,1968,168793.2209,101.5,57,Budget
1530,2,1,Urban,1974,168264.0255,109.98,51,Budget
2635,2,1,Suburb,1977,310831.5105,117.96,48,High-End
2083,2,1,Rural,2013,311910.3567,149.74,12,High-End
2190,3,1,Urban,1973,173417.4187,79.19,52,Budget
2225,3,1,Suburb,1989,320244.9301,143.93,36,High-End
1856,3,1,Suburb,2009,244231.0021,131.59,16,Mid-Range
1145,3,3,Rural,1964,140932.6982,123.09,61,Budget
1914,3,1,Rural,2003,176699.8165,92.32,22,Budget
2699,5,2,Urban,2007,270876.8999,100.36,18,High-End
2993,4,2,Suburb,1954,300559.487,100.42,71,High-End
1992,4,2,Suburb,1988,259653.56,130.35,37,Mid-Range
2462,3,1,Suburb,2012,275169.2956,111.77,13,High-End
1241,3,3,Urban,2021,209223.5346,168.59,4,Mid-Range
1580,5,2,Urban,1950,178946.0394,113.26,75,Budget
1686,3,1,Urban,1969,178274.492,105.74,56,Budget
2584,5,1,Suburb,2018,232749.2271,90.07,7,Mid-Range
1482,5,3,Rural,1998,218885.7468,147.7,27,Mid-Range
2131,2,1,Suburb,1967,203174.2602,95.34,58,Mid-Range
2249,2,1,Rural,1972,162855.1584,72.41,53,Budget
1672,3,2,Urban,1967,151172.7125,90.41,58,Budget
1630,5,2,Suburb,2009,136594.4343,83.8,16,Budget
1660,3,2,Rural,1992,222597.5899,134.09,33,Mid-Range
1661,2,2,Suburb,2021,170648.3719,102.74,4,Budget
2455,2,2,Suburb,2003,266532.2488,108.57,22,High-End
1804,2,1,Suburb,2000,244993.4185,135.81,25,Mid-Range
2678,2,1,Suburb,2009,227285.4996,84.87,16,Mid-Range
1418,2,3,Urban,1973,222799.9153,157.12,52,Mid-Range
1987,3,2,Urban,1999,157462.0344,79.25,26,Budget
2478,3,2,Rural,1986,135582.3022,54.71,39,Budget
2183,2,2,Urban,2006,305410.3992,139.9,19,High-End
2546,3,2,Urban,1979,162431.6181,63.8,46,Budget
1649,2,2,Urban,1997,277920.6683,168.54,28,High-End
1968,2,1,Urban,1970,221766.3344,112.69,55,Mid-Range
1589,2,1,Rural,1964,219030.4772,137.84,61,Mid-Range
2100,3,2,Urban,2020,160391.1618,76.38,5,Budget
1508,3,1,Urban,1981,173922.5736,115.33,44,Budget
1440,5,2,Rural,1996,200346.5505,139.13,29,Mid-Range
2277,3,3,Urban,1991,308312.974,135.4,34,High-End
1920,3,2,Rural,1954,236392.4978,123.12,71,Mid-Range
1769,4,3,Urban,1970,200865.7042,113.55,55,Mid-Range
2343,2,3,Urban,1974,247332.2768,105.56,51,Mid-Range
2826,2,2,Suburb,1987,288967.9779,102.25,38,High-End
1262,3,2,Rural,1974,141315.1822,111.98,51,Budget
2620,3,2,Rural,1994,252661.2148,96.44,31,Mid-Range
2681,5,2,Suburb,1995,333142.5862,124.26,30,High-End
2858,4,1,Rural,2014,264489.8201,92.54,11,High-End
2577,2,1,Rural,2013,291404.286,113.08,12,High-End
2397,2,3,Rural,2013,246270.529,102.74,12,Mid-Range
1636,3,2,Suburb,1983,65916.45842,40.29,42,Budget
2190,3,1,Rural,2017,301750.7242,137.79,8,High-End
2960,4,1,Urban,2000,245558.9571,82.96,25,Mid-Range
2776,2,1,Urban,1966,302558.6599,108.99,59,High-End
1458,4,3,Rural,1964,230523.3873,158.11,61,Mid-Range
1998,2,1,Suburb,2016,201815.4647,101.01,9,Mid-Range
2303,3,2,Urban,2006,404064.4753,175.45,19,High-End
1699,4,1,Urban,2018,185469.9971,109.16,7,Budget
1301,5,2,Urban,1959,117115.0443,90.02,66,Budget
2554,3,1,Suburb,1967,363164.1473,142.19,58,High-End
2603,5,2,Rural,1957,248625.0219,95.51,68,Mid-Range
2241,5,3,Urban,2013,282479.0871,126.05,12,High-End
2125,5,1,Urban,1965,287821.3108,135.45,60,High-End
1553,2,1,Rural,2021,161477.8435,103.98,4,Budget
1287,5,3,Rural,2020,172234.7429,133.83,5,Budget
2190,2,3,Urban,1953,231003.3383,105.48,72,Mid-Range
1620,4,3,Urban,1969,343903.2937,212.29,56,High-End
2005,3,2,Urban,1979,307507.2765,153.37,46,High-End
1035,2,2,Suburb,1981,165349.2366,159.76,44,Budget
1743,2,1,Rural,1974,210500.3443,120.77,51,Mid-Range
2764,4,2,Suburb,1998,271981.5826,98.4,27,High-End
1352,4,1,Suburb,1951,99425.12371,73.54,74,Budget
2699,3,3,Suburb,2009,314445.3582,116.5,16,High-End
2922,4,1,Rural,2016,348293.5471,119.2,9,High-End
1072,2,3,Rural,1980,12832.94955,11.97,45,Budget
1647,3,3,Urban,1997,134233.4486,81.5,28,Budget
2376,3,1,Suburb,2015,264559.8468,111.35,10,High-End
2914,3,2,Rural,1997,283707.3602,97.36,28,High-End
2093,5,2,Suburb,1979,258404.1503,123.46,46,Mid-Range
1424,5,1,Suburb,1966,154640.4141,108.6,59,Budget
1998,2,2,Rural,1968,241124.9769,120.68,57,Mid-Range
1707,5,3,Suburb,2020,282229.3445,165.34,5,High-End
2804,4,3,Urban,1995,247972.4871,88.44,30,Mid-Range
1560,3,2,Urban,1987,186058.0091,119.27,38,Budget
1827,2,2,Suburb,2009,308786.6989,169.01,16,High-End
2665,4,3,Urban,2005,277346.6313,104.07,20,High-End
1955,3,1,Suburb,1977,175135.111,89.58,48,Budget
1516,4,2,Urban,1956,222825.0778,146.98,69,Mid-Range
1427,5,2,Suburb,1999,171739.9734,120.35,26,Budget
2562,4,1,Urban,1988,338345.8329,132.06,37,High-End
1159,5,3,Urban,1992,123518.6693,106.57,33,Budget
1148,4,1,Rural,1984,167884.284,146.24,41,Budget
1775,2,1,Suburb,1957,169727.2177,95.62,68,Budget
2253,5,1,Urban,2004,262816.6021,116.65,21,High-End
2735,5,2,Rural,2017,298865.5495,109.27,8,High-End
2585,3,3,Rural,1966,348220.5397,134.71,59,High-End
1066,5,3,Suburb,1970,145881.6578,136.85,55,Budget
2013,3,2,Urban,1972,157919.5413,78.45,53,Budget
2835,5,1,Urban,2016,259976.4502,91.7,9,Mid-Range
1380,5,2,Urban,1980,185806.2485,134.64,45,Budget
1057,5,1,Urban,1993,92447.12816,87.46,32,Budget
2282,5,1,Rural,2021,277838.5537,121.75,4,High-End
1341,3,1,Rural,1976,103012.4729,76.82,49,Budget
2861,2,1,Rural,1998,286280.9996,100.06,27,High-End
2153,4,2,Suburb,1974,196594.9197,91.31,51,Mid-Range
1726,5,1,Suburb,2014,197917.2716,114.67,11,Mid-Range
2195,5,2,Rural,2009,194148.8068,88.45,16,Mid-Range
1769,2,1,Urban,1991,182714.5829,103.29,34,Budget
1613,3,2,Urban,1980,207880.5423,128.88,45,Mid-Range
2232,4,3,Rural,1992,230141.3498,103.11,33,Mid-Range
2826,2,2,Urban,1977,316032.5155,111.83,48,High-End
1353,2,3,Urban,1980,91903.73217,67.93,45,Budget
2494,2,2,Suburb,2004,217345.3687,87.15,21,Mid-Range
2821,2,3,Rural,1962,271411.6343,96.21,63,High-End
1115,5,2,Suburb,1958,99181.05033,88.95,67,Budget
2287,4,1,Suburb,1992,265385.7482,116.04,33,High-End
1661,5,3,Urban,1997,273609.881,164.73,28,High-End
2835,2,1,Rural,1998,280689.1106,99.01,27,High-End
2465,4,3,Rural,1988,355776.1231,144.33,37,High-End
2571,2,1,Urban,1953,325608.4477,126.65,72,High-End
1452,3,1,Rural,1962,135392.4887,93.25,63,Budget
2868,2,2,Urban,1993,299315.9118,104.36,32,High-End
2500,2,1,Suburb,1950,360810.5625,144.32,75,High-End
1286,3,3,Rural,1993,177114.993,137.73,32,Budget
2326,5,3,Suburb,2002,226148.0628,97.23,23,Mid-Range
2016,4,3,Suburb,1965,274266.6993,136.04,60,High-End
1310,2,2,Rural,1959,142398.4317,108.7,66,Budget
1207,2,2,Urban,2015,149446.025,123.82,10,Budget
1617,3,3,Suburb,1952,253647.9877,156.86,73,Mid-Range
1445,4,1,Rural,2021,185532.5265,128.4,4,Budget
1669,3,2,Rural,1996,193850.2296,116.15,29,Mid-Range
1632,2,1,Urban,1958,171005.7997,104.78,67,Budget
1054,5,2,Suburb,1995,164103.4116,155.7,30,Budget
1911,5,2,Urban,1976,161795.0675,84.67,49,Budget
2035,4,2,Rural,2000,183813.6733,90.33,25,Budget
1656,2,2,Rural,2012,236467.1067,142.79,13,Mid-Range
2423,3,3,Urban,2008,408992.841,168.8,17,High-End
2931,2,2,Suburb,1987,331223.3254,113.01,38,High-End
2671,3,2,Urban,1999,364027.0443,136.29,26,High-End
1979,3,3,Suburb,2009,192164.8751,97.1,16,Mid-Range
1514,4,3,Suburb,2019,200556.9062,132.47,6,Mid-Range
2679,3,3,Rural,1993,164170.0873,61.28,32,Budget
2565,4,3,Rural,1983,280858.6876,109.5,42,High-End
1236,5,1,Urban,2020,197949.2005,160.15,5,Mid-Range
2302,4,3,Suburb,2001,224883.0969,97.69,24,Mid-Range
1347,4,3,Urban,1959,151703.9534,112.62,66,Budget
1626,4,3,Suburb,1996,244823.3094,150.57,29,Mid-Range
2127,5,1,Urban,2009,191954.0089,90.25,16,Mid-Range
1629,4,3,Urban,1965,221591.3229,136.03,60,Mid-Range
2540,3,1,Urban,1983,174174.0782,68.57,42,Budget
2895,3,2,Rural,1977,369396.5041,127.6,48,High-End
2271,4,1,Urban,1956,239165.5259,105.31,69,Mid-Range
1363,3,3,Urban,2006,164961.4506,121.03,19,Budget
1320,4,1,Suburb,1975,182153.3849,137.99,50,Budget
2656,5,1,Rural,1999,173033.9636,65.15,26,Budget
1285,3,1,Suburb,1989,79935.45028,62.21,36,Budget
1148,4,1,Urban,1978,140763.4095,122.62,47,Budget
2107,2,1,Urban,1963,175527.7663,83.31,62,Budget
2989,5,1,Urban,1963,260583.8227,87.18,62,High-End
1405,2,1,Rural,2010,190279.3623,135.43,15,Mid-Range
1977,4,1,Suburb,1987,179676.8232,90.88,38,Budget
1455,3,2,Rural,1957,162943.9353,111.99,68,Budget
2766,4,2,Urban,1978,271413.3499,98.12,47,High-End
1799,3,3,Suburb,1988,182670.2642,101.54,37,Budget
2184,4,3,Urban,1985,264847.904,121.27,40,High-End
2012,4,3,Urban,2001,184556.1862,91.73,24,Budget
1783,3,3,Rural,1998,217462.2582,121.96,27,Mid-Range
1459,3,3,Urban,2009,129503.4579,88.76,16,Budget
2573,4,3,Urban,1967,292542.4229,113.7,58,High-End
2523,2,2,Urban,1980,264221.3178,104.73,45,High-End
1737,5,2,Urban,2009,127925.261,73.65,16,Budget
1508,2,2,Suburb,1963,167390.4574,111,62,Budget
2677,2,1,Urban,1994,263029.1643,98.26,31,High-End
2827,2,1,Rural,1989,313460.636,110.88,36,High-End
1480,2,3,Rural,2011,110451.384,74.63,14,Budget
2686,3,2,Suburb,2018,327467.7285,121.92,7,High-End
1113,2,3,Urban,2020,103271.5866,92.79,5,Budget
1748,5,2,Rural,1950,236602.187,135.36,75,Mid-Range
2601,3,2,Rural,1981,373516.5634,143.6,44,High-End
1360,2,3,Rural,2016,70719.58386,52,9,Budget
1340,3,3,Urban,2004,105658.7471,78.85,21,Budget
1769,2,1,Suburb,1964,151680.7198,85.74,61,Budget
1760,2,2,Suburb,2010,197457.2758,112.19,15,Mid-Range
1968,5,1,Suburb,2005,233516.4456,118.66,20,Mid-Range
1448,3,1,Rural,1988,128932.8437,89.04,37,Budget
2866,3,1,Suburb,1971,350900.7638,122.44,54,High-End
1834,4,1,Rural,1968,249037.3302,135.79,57,Mid-Range
2203,2,2,Suburb,2010,294099.9274,133.5,15,High-End
2725,2,2,Rural,1999,328977.2576,120.73,26,High-End
2430,5,1,Urban,1967,335396.3234,138.02,58,High-End
2689,5,2,Rural,2010,267700.7542,99.55,15,High-End
2219,3,1,Suburb,1994,204841.7275,92.31,31,Mid-Range
2489,5,3,Rural,1960,229651.5828,92.27,65,Mid-Range
1310,3,1,Urban,1962,175567.1544,134.02,63,Budget
1261,2,3,Suburb,1988,156059.5126,123.76,37,Budget
2442,2,1,Urban,2015,297776.6852,121.94,10,High-End
1405,3,1,Suburb,1994,140509.8534,100.01,31,Budget
2962,5,2,Urban,1984,398064.007,134.39,41,High-End
1142,5,3,Suburb,1982,161606.5092,141.51,43,Budget
1341,3,2,Urban,1980,136880.2645,102.07,45,Budget
2339,2,1,Suburb,1967,247781.2958,105.93,58,Mid-Range
2124,3,3,Rural,2014,316920.5006,149.21,11,High-End
1243,5,1,Urban,1998,152934.5099,123.04,27,Budget
1489,3,3,Suburb,1964,177247.892,119.04,61,Budget
1011,2,3,Suburb,2013,137967.2937,136.47,12,Budget
2262,4,1,Rural,1956,276113.8232,122.07,69,High-End
1560,3,1,Urban,2006,189661.6388,121.58,19,Mid-Range
1041,4,2,Suburb,1998,160042.756,153.74,27,Budget
1677,3,2,Suburb,1970,212913.1143,126.96,55,Mid-Range
1593,5,1,Rural,1989,203422.2554,127.7,36,Mid-Range
2452,5,2,Rural,1961,364024.4172,148.46,64,High-End
2826,4,2,Urban,1971,273574.0865,96.81,54,High-End
2181,3,1,Urban,1958,259341.2078,118.91,67,Mid-Range
2239,5,3,Rural,1980,245378.1886,109.59,45,Mid-Range
2693,4,1,Urban,1952,249890.3039,92.79,73,Mid-Range
2485,4,2,Rural,1992,262092.667,105.47,33,High-End
1133,3,1,Rural,1997,80594.28817,71.13,28,Budget
2090,5,1,Suburb,1972,242814.9044,116.18,53,Mid-Range
2871,4,3,Urban,2010,326375.3754,113.68,15,High-End
2030,2,3,Suburb,1964,238146.6314,117.31,61,Mid-Range
1947,2,2,Rural,1995,202304.1488,103.91,30,Mid-Range
2549,5,2,Rural,2005,287182.5971,112.66,20,High-End
1072,5,2,Urban,1963,101520.4512,94.7,62,Budget
1398,2,2,Urban,1997,134286.8781,96.06,28,Budget
2428,4,2,Rural,1994,220874.9933,90.97,31,Mid-Range
2698,3,1,Rural,1973,229165.6644,84.94,52,Mid-Range
1577,4,1,Urban,2002,86547.87098,54.88,23,Budget
1858,5,2,Rural,1968,271613.6361,146.19,57,High-End
1129,5,3,Urban,1956,212420.0385,188.15,69,Mid-Range
1930,3,3,Suburb,2011,130717.9573,67.73,14,Budget
2489,4,2,Suburb,1996,287435.8502,115.48,29,High-End
2229,3,1,Rural,1999,184609.1198,82.82,26,Budget
2811,4,3,Rural,2012,284051.5016,101.05,13,High-End
2791,4,3,Urban,1999,300843.7658,107.79,26,High-End
1265,2,3,Urban,1974,119980.7264,94.85,51,Budget
2560,4,3,Suburb,1988,332647.3022,129.94,37,High-End
2985,5,1,Rural,1961,456959.8044,153.09,64,High-End
1792,5,1,Suburb,2004,141586.2604,79.01,21,Budget
1252,5,3,Urban,1972,204133.3614,163.05,53,Mid-Range
1821,2,1,Rural,2008,221151.9112,121.45,17,Mid-Range
2312,3,1,Urban,1981,249184.8818,107.78,44,Mid-Range
1163,5,2,Suburb,1966,106470.3288,91.55,59,Budget
1094,5,2,Rural,1977,42159.00376,38.54,48,Budget
2805,3,2,Urban,1992,325843.3318,116.17,33,High-End
1832,2,2,Urban,1998,208247.0441,113.67,27,Mid-Range
2133,4,3,Suburb,1993,247235.3306,115.91,32,Mid-Range
1335,3,2,Suburb,2006,191030.5468,143.09,19,Mid-Range
1821,4,2,Rural,1963,232581.0964,127.72,62,Mid-Range
1237,4,1,Suburb,1976,145917.739,117.96,49,Budget
1380,4,3,Urban,1956,205654.5394,149.03,69,Mid-Range
2459,3,1,Rural,2005,268616.6668,109.24,20,High-End
1898,3,1,Urban,1996,213395.488,112.43,29,Mid-Range
1482,4,1,Rural,1961,237087.8453,159.98,64,Mid-Range
2960,2,2,Urban,1951,317306.9485,107.2,74,High-End
1901,2,3,Suburb,2021,130462.6407,68.63,4,Budget
2048,2,2,Suburb,2005,266338.5958,130.05,20,High-End
2676,5,3,Rural,1965,346205.2457,129.37,60,High-End
2140,4,1,Urban,1974,233665.5839,109.19,51,Mid-Range
1481,5,3,Suburb,1952,241926.8448,163.35,73,Mid-Range
2415,2,1,Suburb,1994,228823.6392,94.75,31,Mid-Range
1916,3,2,Suburb,1999,212662.8763,110.99,26,Mid-Range
1993,2,1,Rural,1954,277032.4981,139,71,High-End
1963,5,2,Suburb,1982,211545.3916,107.77,43,Mid-Range
1536,5,2,Urban,2014,166303.8134,108.27,11,Budget
2102,2,2,Rural,1981,231128.1903,109.96,44,Mid-Range
2603,4,1,Rural,1978,325865.9651,125.19,47,High-End
2196,3,2,Rural,1972,181063.3493,82.45,53,Budget
2979,3,3,Rural,1961,377346.1408,126.67,64,High-End
2035,2,3,Rural,2009,275975.0652,135.61,16,High-End
2823,4,3,Rural,1996,379295.3927,134.36,29,High-End
1127,4,3,Suburb,1960,56134.95578,49.81,65,Budget
2631,2,2,Rural,1987,336783.9853,128.01,38,High-End
1091,3,3,Suburb,2017,139634.0765,127.99,8,Budget
2676,3,1,Urban,1970,273868.9567,102.34,55,High-End
1542,3,3,Suburb,1955,161802.4915,104.93,70,Budget
1845,4,3,Rural,2020,200298.8294,108.56,5,Mid-Range
2555,2,1,Urban,1985,298021.6808,116.64,40,High-End
2681,4,1,Rural,1964,298152.8389,111.21,61,High-End
1988,3,3,Rural,1958,227620.7542,114.5,67,Mid-Range
2851,4,2,Rural,1996,193188.2721,67.76,29,Mid-Range
1446,3,1,Suburb,1960,132471.5838,91.61,65,Budget
1389,2,2,Urban,1966,166923.8104,120.18,59,Budget
1671,3,2,Urban,1983,71406.67028,42.73,42,Budget
2884,5,3,Urban,1995,362452.3218,125.68,30,High-End
1042,5,2,Suburb,1979,118146.8958,113.38,46,Budget
1253,2,2,Suburb,1961,119050.6506,95.01,64,Budget
2153,4,2,Suburb,1956,240399.118,111.66,69,Mid-Range
2083,4,3,Suburb,2015,178570.7985,85.73,10,Budget
1662,4,1,Urban,1970,130229.2905,78.36,55,Budget
1466,3,3,Suburb,1999,207184.9652,141.33,26,Mid-Range
1286,5,1,Rural,1950,189473.9644,147.34,75,Mid-Range
2010,2,2,Urban,1998,191497.9843,95.27,27,Mid-Range
2540,4,1,Suburb,2015,317919.0315,125.16,10,High-End
2490,4,1,Suburb,1975,321550.5111,129.14,50,High-End
2953,2,1,Rural,1974,208697.1467,70.67,51,Mid-Range
1777,3,1,Rural,1978,235667.752,132.62,47,Mid-Range
1344,4,2,Rural,2001,158348.6355,117.82,24,Budget
1641,3,1,Rural,2013,233876.4134,142.52,12,Mid-Range
1381,3,1,Urban,1977,208435.4399,150.93,48,Mid-Range
2802,3,2,Rural,1988,304995.213,108.85,37,High-End
1689,4,1,Rural,2017,211762.28,125.38,8,Mid-Range
2276,4,3,Suburb,2010,286560.3973,125.91,15,High-End
2950,2,1,Rural,1959,371114.7342,125.8,66,High-End
2079,2,3,Suburb,1959,246456.0195,118.55,66,Mid-Range
2486,3,3,Rural,1989,250692.4109,100.84,36,Mid-Range
1456,4,3,Urban,2000,153904.0335,105.7,25,Budget
1982,3,2,Suburb,1992,195499.4416,98.64,33,Mid-Range
1082,2,3,Suburb,1988,125439.963,115.93,37,Budget
2928,3,3,Suburb,1962,457902.6754,156.39,63,High-End
2122,5,2,Suburb,1991,265550.482,125.14,34,High-End
1148,3,2,Suburb,1975,250446.1698,218.16,50,Mid-Range
2352,4,3,Rural,2008,323581.5326,137.58,17,High-End
2179,3,2,Rural,2007,218869.0694,100.44,18,Mid-Range
1189,3,1,Urban,1980,152332.4918,128.12,45,Budget
2517,4,3,Rural,1976,282028.6306,112.05,49,High-End
1882,5,3,Urban,2011,225689.2699,119.92,14,Mid-Range
1262,4,1,Urban,2006,170513.9305,135.11,19,Budget
2103,2,2,Suburb,1953,407173.1123,193.62,72,High-End
1399,5,1,Urban,2001,212536.7276,151.92,24,Mid-Range
1763,5,1,Urban,1988,192576.2834,109.23,37,Mid-Range
1608,4,2,Urban,1950,177056.5489,110.11,75,Budget
2283,3,2,Urban,1965,250997.411,109.94,60,Mid-Range
2795,2,3,Urban,1994,293723.3971,105.09,31,High-End
2638,2,3,Suburb,1983,261822.8488,99.25,42,High-End
2575,5,3,Urban,1971,346915.1261,134.72,54,High-End
1784,2,2,Suburb,1952,172890.9879,96.91,73,Budget
1100,5,3,Rural,1987,50210.14549,45.65,38,Budget
2382,5,1,Urban,1951,237196.4079,99.58,74,Mid-Range
2403,2,3,Rural,2003,301107.2443,125.3,22,High-End
1819,5,2,Rural,1989,195750.4583,107.61,36,Mid-Range
2244,3,2,Urban,1991,275301.4633,122.68,34,High-End
1819,5,3,Rural,2007,144517.7104,79.45,18,Budget
1419,3,2,Suburb,1984,83233.90902,58.66,41,Budget
1123,3,2,Suburb,1998,92402.94372,82.28,27,Budget
1421,3,3,Rural,2010,183339.9549,129.02,15,Budget
2254,2,3,Urban,1991,216149.2845,95.9,34,Mid-Range
2713,3,1,Rural,1976,270883.69,99.85,49,High-End
2086,2,2,Urban,1969,217634.7924,104.33,56,Mid-Range
2508,4,3,Rural,1970,224554.0623,89.54,55,Mid-Range
2651,3,1,Urban,1955,353686.605,133.42,70,High-End
2726,5,2,Rural,1971,388796.7967,142.63,54,High-End
2597,4,2,Urban,1978,326799.0757,125.84,47,High-End
1767,4,1,Rural,1989,263232.9283,148.97,36,High-End
1482,3,2,Urban,1976,182385.5297,123.07,49,Budget
1518,2,3,Suburb,1964,179146.4709,118.01,61,Budget
1154,4,1,Suburb,1999,161345.9555,139.81,26,Budget
1091,3,1,Urban,1961,133572.0839,122.43,64,Budget
1981,4,3,Urban,2003,271000.7215,136.8,22,High-End
2549,4,1,Suburb,1990,237470.2005,93.16,35,Mid-Range
1454,3,3,Urban,2021,215957.693,148.53,4,Mid-Range
2764,5,3,Suburb,2000,393864.7194,142.5,25,High-End
1597,5,2,Suburb,1998,177048.8052,110.86,27,Budget
2668,5,2,Rural,1974,251495.5657,94.26,51,Mid-Range
1509,4,2,Rural,1996,237548.3779,157.42,29,Mid-Range
2206,2,2,Urban,1966,265312.6026,120.27,59,High-End
1385,2,2,Urban,1987,172911.1216,124.85,38,Budget
2597,4,3,Suburb,1961,266296.7184,102.54,64,High-End
2754,4,1,Suburb,1955,321260.3541,116.65,70,High-End
1404,3,1,Suburb,1958,162507.0069,115.75,67,Budget
1245,2,2,Rural,1995,151889.0048,122,30,Budget
1741,4,3,Suburb,1971,226966.6453,130.37,54,Mid-Range
2614,5,3,Rural,2004,275197.2383,105.28,21,High-End
1660,2,3,Urban,1952,152441.9224,91.83,73,Budget
1649,4,1,Rural,1983,127915.0424,77.57,42,Budget
2494,3,3,Urban,1953,252484.7545,101.24,72,Mid-Range
2849,3,2,Urban,1951,294567.4975,103.39,74,High-End
2911,2,3,Urban,2007,348178.4515,119.61,18,High-End
2446,5,2,Rural,1962,320600.3097,131.07,63,High-End
1900,2,1,Urban,1986,68439.06817,36.02,39,Budget
1064,4,1,Rural,1958,129836.9992,122.03,67,Budget
2036,5,3,Rural,1957,258202.4236,126.82,68,Mid-Range
1212,4,1,Urban,1999,134972.3116,111.36,26,Budget
1241,5,1,Urban,2011,152976.4661,123.27,14,Budget
